item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1037,tt1454468,Gravity,2013,2015,91,PG-13,7.7,725663,2027,772,100000000,274092705,723192705,UK,WB,Alfonso Cuarn,Drama,Sci-Fi,Thriller,Sandra Bullock,George Clooney,Ed Harris,2700,10,10,4500.0,1462500.0,1287.0,-1413.0
I-1033,tt0903624,The Hobbit: An Unexpected Journey,2012,2015,169,PG-13,7.8,728473,1415,658,180000000,303003568,1017003568,USA,WB (NL),Peter Jackson,Adventure,Family,Fantasy,Ian McKellen,Martin Freeman,Richard Armitage,2600,6,10,4500.0,1219500.0,1074.0,-1526.0
I-1026,tt1375666,Inception,2010,2015,148,PG-13,8.8,1892929,3439,462,160000000,292576195,829895144,USA,WB,Christopher Nolan,Action,Adventure,Sci-Fi,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,2700,10,10,4500.0,1255500.0,1105.0,-1595.0
I-1025,tt1323594,Despicable Me,2010,2015,95,PG,7.6,473933,328,317,69000000,251513985,543113985,USA,Universal,Pierre Coffin,Animation,Comedy,Family,Steve Carell,Jason Segel,Russell Brand,2700,10,10,4500.0,1102500.0,971.0,-1729.0
I-1029,tt1392170,The Hunger Games,2012,2015,142,PG-13,7.2,806391,2001,680,78000000,408010692,694394724,USA,LIONSGATE,Gary Ross,Action,Adventure,Sci-Fi,Stanley Tucci,Wes Bentley,Jennifer Lawrence,2195,6,1,1000.0,268000.0,236.0,-1959.0
I-1095,tt1825683,Black Panther,2018,2019,134,PG-13,7.3,551245,3062,664,200000000,700059566,1346913161,USA,BUENA VISTA,Ryan Coogler,Action,Adventure,Sci-Fi,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,2295,10,1,5500.0,0.0,0.0,-2295.0
I-1099,tt3778644,Solo: A Star Wars Story,2018,2019,135,PG-13,7.0,242506,2342,529,275000000,213767512,392924807,USA,BUENA VISTA,Ron Howard,Action,Adventure,Sci-Fi,Alden Ehrenreich,Joonas Suotamo,Woody Harrelson,2295,10,1,7200.0,0.0,0.0,-2295.0
I-1101,tt4881806,Jurassic World: Fallen Kingdom,2018,2019,128,PG-13,6.2,233261,1738,470,170000000,417719760,1308467944,USA,Universal,J.A. Bayona,Action,Adventure,Sci-Fi,Chris Pratt,Bryce Dallas Howard,Rafe Spall,2295,10,1,4500.0,0.0,0.0,-2295.0
I-1102,tt5095030,Ant-Man and the Wasp,2018,2019,118,PG-13,7.1,266808,906,426,162000000,216648740,622674139,USA,BUENA VISTA,Peyton Reed,Action,Adventure,Comedy,Paul Rudd,Evangeline Lilly,Michael Pe��a,2295,10,1,7200.0,0.0,0.0,-2295.0
I-1105,tt5848272,Ralph Breaks the Internet,2018,2019,112,PG,7.1,105555,723,268,175000000,201091711,529323962,USA,BUENA VISTA,Phil Johnston,Animation,Adventure,Comedy,John C. Reilly,Sarah Silverman,Gal Gadot,2295,10,1,7200.0,0.0,0.0,-2295.0
I-1106,tt1477834,Aquaman,2018,2019,143,PG-13,7.0,311374,3713,413,160000000,335061807,1148161807,Aus,WB,James Wan,Action,Adventure,Fantasy,Jason Momoa,Amber Heard,Willem Dafoe,2295,10,1,4500.0,0.0,0.0,-2295.0
I-1038,tt1951264,The Hunger Games: Catching Fire,2013,2015,146,PG-13,7.5,584383,698,520,130000000,424668047,865011746,USA,LIONSGATE,Francis Lawrence,Action,Adventure,Mystery,Jennifer Lawrence,Liam Hemsworth,Jack Quaid,2600,6,10,1000.0,282000.0,248.0,-2352.0
I-1096,tt6644200,A Quiet Place,2018,2019,90,PG-13,7.5,333041,2617,541,17000000,188024361,340939361,USA,Paramount,John Krasinski,Drama,Horror,Sci-Fi,Emily Blunt,John Krasinski,Millicent Simmonds,2550,4,10,5000.0,0.0,0.0,-2550.0
I-1098,tt5463162,Deadpool 2,2018,2019,119,R,7.7,424573,1260,515,110000000,324591735,785046920,USA,Fox,David Leitch,Action,Adventure,Comedy,Ryan Reynolds,Josh Brolin,Morena Baccarin,2600,6,10,4500.0,0.0,0.0,-2600.0
I-1104,tt1727824,Bohemian Rhapsody,2018,2019,134,PG-13,8.0,392599,3239,442,52000000,216428042,903655259,UK,Fox,Bryan Singer,Biography,Drama,Music,Rami Malek,Lucy Boynton,Gwilym Lee,2600,6,10,4500.0,0.0,0.0,-2600.0
I-1097,tt4154756,Avengers: Infinity War,2018,2019,149,PG-13,8.5,725138,4111,591,321000000,678815482,2048359754,USA,BUENA VISTA,Anthony Russo,Action,Adventure,Sci-Fi,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,2700,10,10,7200.0,0.0,0.0,-2700.0
I-1100,tt3606756,Incredibles 2,2018,2019,118,PG,7.7,219133,1033,385,200000000,608581744,1242805359,USA,BUENA VISTA,Brad Bird,Animation,Action,Adventure,Craig T. Nelson,Holly Hunter,Sarah Vowell,2700,10,10,7200.0,0.0,0.0,-2700.0
I-1103,tt4912910,Mission: Impossible - Fallout,2018,2019,147,PG-13,7.8,251993,1553,476,178000000,220159104,791115104,USA,Paramount,Christopher McQua,Action,Adventure,Thriller,Tom Cruise,Henry Cavill,Ving Rhames,2700,10,10,5000.0,0.0,0.0,-2700.0
