imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt11845692,Tales from Six Feet Under,Tales from Six Feet Under,2020,2020-04-15,"Comedy, Horror",45,USA,English,Nicholas Michael Jacobs,Nicholas Michael Jacobs,,"Alexis Beacher, Brian Jacobs, Gianna Jacobs, Nicholas Michael Jacobs",Follow the Visitor as he walks through the graveyard and find out how these extremely unlucky people ended up six feet under.,7.6,223,"$1,500 ",,,,2,27
tt5834278,The Directive,The Directive,2019,2019-03-15,"Action, Adventure, Comedy",113,USA,English,Alexander Raye Pimentel,Alexander Raye Pimentel,Future of Film Productions,"Nicholas Winand, Kyle Abraham, Paul Askedall, Hashim Gari, Greg Winand, Blaiden D. Cordle, Hannah Pimentel, Thomas Betthauser, Scott Thompson","One year after a catastrophic pandemic wipes out most of humanity, a lone survivor embarks on a journey to find Safe Zone 57 with the help of a broken robot.",4.4,646,"$1,600 ",,,,38,14
tt10612148,Empty Spaces,Empty Spaces,2019,2019-08-27,Drama,104,USA,English,Evan Snyder,"Evan Snyder, Ian Snyder",,"Mason Born, Tabita Johansson, Alan Snyder, Evan Snyder, Ian Snyder","After separating from his wife, a depressed alcoholic moves his unemployed brother in to help take care of his kids.",7.5,156,"$3,000 ",,,,7,
tt11207902,Lejos de Casa pelicula Venezolana,Lejos de Casa pelicula Venezolana,2020,2020-03-19,"Drama, History",87,Venezuela,Spanish,Abner Official,"Dariana Jozh, Abner Official",,"Angibell, Gabriel Buitrago, Darwing, Dariana Jozh, Marko, Abner Official, Yroski","Samuel, a young Venezuelan, emigrates from his country in search of a better life and to help his family, without knowing the difficult situations that he will face as an immigrant.",9.8,133,"$5,000 ",,,,,
tt8717296,Incident at Montauk,Incident at Montauk,2019,2019-03-26,"Horror, Mystery, Sci-Fi",60,USA,English,Owen Mulligan,Owen Mulligan,DeadFi Productions,"J.T. Holden, Owen Mulligan, Michael Ian Sugrue, Jay Vos","After witnessing a UFO, Jed Logan soon discovers his sighting may be linked to a secret government project which leads him down a dangerous path to uncover the truth.",2.6,157,"$7,000 ",,,,5,4
tt9840958,Love Struck Sick,Love Struck Sick,2019,2019-08-08,Romance,92,USA,English,Don Tjernagel,"Matt Lee Ingebritson, Don Tjernagel",,"Jordan Abbe, Jim Averill, Mikey Averill, Josh Bash, Donna Baumgartner, Thomas Benedict, Clint Boevers, Joe Brown, J.P. Bunn, Kelsea Clements, Brianna Cool, Robyn Cusmano, Caleb DeGraw, Al Eacret, Kyla Faith","This movie is all about one of the greatest YouTubers of all time, AlienAmerican. He is legendary, a man of his time, yet so far beyond it as well.",7.2,249,"$7,000 ",,,,,
tt10264340,Light from the Tower,Light from the Tower,2020,2020-04-15,"Comedy, Drama, Mystery",77,USA,English,Alex R. Wagner,Julia St. Pierre,GK Studio Productions,"Sarah Rosengarten, Julia St. Pierre, Buckner Hinkle, Christopher Coakley, Amber Bloom, Dov Lebowitz-Nowak, Joe Ventricelli, Amy Soraghan, Will F. Young, Sarah Villegas, Nikki Delmonico, Katharine Ariyan, Alex R. Wagner","A costumer designer is sent to the Catskills for an interactive theatre piece set in the 1920s. When she arrives things seem dark, strange and off. She soon realizes she is part of a student film.",6,1068,"$10,000 ",,,,39,
tt11547496,Camp Blood 8: Revelations,Camp Blood 8: Revelations,2020,2020-01-01,Horror,82,USA,English,Dennis Devine,Dennis Devine,Sterling Entertainment,"Rhei Liu, Phoebe Dollar, Sally Mullins, Rowan Denis, Kyle Ian Fisher, Laura Dromerick, Emilyrose Morris, Domiziano Arcangeli, Shawn C. Phillips, Joe Haggerty, Veronica Ricci, Danny Filaccio, David S. Sterling","When a team of volleyball players get lost in the woods, they encounter a killer clown and his psychotic exhibitionist mother. Will he kill them all or will they find a way to defeat him?",2.2,114,"$10,000 ",,,,4,3
tt10218912,As I Am,As I Am,2019,2019-12-06,"Drama, Fantasy, Romance",62,USA,English,Anthony Bawn,Anthony Bawn,APB Production,"Andre Myers, Jerimiyah Dunbar, Rodney Chester, Tom McLaren, Piper Dellums, Rufus Tanksley, Rob Hemen, Tim Christian, Mimi Frank, Nicole Swirsky, Marcus Bailey, Matthew Camp, Margareta Erdei, Heather Fauland, Lea Herman",A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.,9.3,1173,"$10,000 ",,,,5,
tt11166002,Stanley Stanton,Stanley Stanton,2019,2019-10-15,Drama,62,USA,English,Mars McCracken,Mars McCracken,,"Bruce McCracken, Wesley Baldwin, Eric Harris, Noah Tobias Nielsen, Edyn Ballard, Jim Ballard, Marianne Baskin, Sean Beste, Doug Brand, Suzanne Brodine, Jack Caldwell, Christopher Creveling, Quinn Thomas Graham, Alexandra Hart, Darren Johnson","Forced to watch flashbacks of his life, a pious man comes to the realization he's dead and on his way to hell. Inspired by a true event.",8.7,904,"$10,000 ",,,,2,
